5,TX,2026-01-05,3000000.0
8,CA,2025-12-30,1100000.0
32,OK,2025-10-21,1800000.0
33,NV,2025-10-07,750000.0
34,WI,2025-09-29,2103900.0
39,UT,2025-09-25,3456875.0
41,NC,2025-09-17,3525000.0
62,MN,2025-07-31,2681705.0
63,TX,2025-07-29,4400000.0
90,KS,2025-05-14,5200000.0
110,MS,2025-03-20,986500.0
122,NC,2025-01-31,2000000.0
126,OR,2025-01-17,2750000.0
151,SC,2024-12-04,1443324.0
191,NY,2024-06-26,5499000.0
197,TX,2024-05-23,9188390.0
201,IL,2024-04-29,1375000.0
207,GA,2024-04-10,1030000.0
215,WA,2024-03-13,2143000.0
227,GA,2024-02-20,320000.0
231,CO,2024-01-23,6600000.0
233,WA,2024-01-12,1925000.0
234,CA,2024-01-09,1063001.0
244,TX,2023-12-21,5369940.0
261,FL,2023-10-05,3910287.0
264,CA,2023-10-02,7400000.0
268,OK,2023-09-26,1217500.0
309,AZ,2023-07-07,5440000.0
324,TX,2023-06-02,3020000.0
328,FL,2023-05-19,1690000.0
329,NC,2023-05-19,2281500.0
336,MN,2023-04-25,2400000.0
339,TX,2023-04-21,2027027.0
340,UT,2023-04-14,28915000.0
347,PA,2023-03-30,1300000.0
358,MO,2023-02-20,3400000.0
360,FL,2023-02-17,3450000.0
368,OH,2023-01-26,3885000.0
384,GA,2022-12-12,1800000.0
396,TN,2022-11-21,1526797.0
413,TN,2022-10-28,3750000.0
423,CA,2022-10-10,5650000.0
437,LA,2022-09-19,5904000.0
448,LA,2022-09-02,1430000.0
452,TX,2022-08-31,4236893.0
461,IL,2022-08-23,3583644.0
462,FL,2022-08-16,4950000.0
465,FL,2022-08-15,4424000.0
467,OH,2022-08-15,2615000.0
483,NV,2022-07-29,13250000.0
495,OH,2022-07-07,1952000.0
498,GA,2022-06-30,1670000.0
500,TX,2022-06-27,1611000.0
502,CA,2022-06-24,5700000.0
505,PA,2022-06-23,1455000.0
515,OH,2022-06-03,5260473.0
517,WI,2022-06-03,4114891.0
