5,TX,2026-01-05,3000000.0
8,CA,2025-12-30,1100000.0
12,CA,2025-12-17,4680000.0
15,AL,2025-12-17,3100000.0
23,OH,2025-11-24,4900000.0
31,TX,2025-10-25,3745000.0
32,OK,2025-10-21,1800000.0
33,NV,2025-10-07,750000.0
34,WI,2025-09-29,2103900.0
35,TX,2025-09-29,2678000.0
37,WI,2025-09-29,2103900.0
39,UT,2025-09-25,3456875.0
41,NC,2025-09-17,3525000.0
49,CA,2025-09-03,3722607.0
51,CA,2025-09-02,3722607.0
52,MN,2025-08-15,2050000.0
55,LA,2025-08-08,2978091.0
57,LA,2025-08-08,2188015.0
58,OH,2025-08-08,1380000.0
62,MN,2025-07-31,2681705.0
63,TX,2025-07-29,4400000.0
74,OK,2025-06-27,535000.0
81,VA,2025-06-12,1440000.0
82,NC,2025-06-09,3020000.0
90,KS,2025-05-14,5200000.0
92,FL,2025-05-09,4194950.0
110,MS,2025-03-20,986500.0
117,GA,2025-02-20,3100000.0
121,GA,2025-02-05,1850000.0
122,NC,2025-01-31,2000000.0
126,OR,2025-01-17,2750000.0
133,TX,2025-01-02,2800000.0
135,FL,2024-12-20,10400000.0
142,NC,2024-12-13,5111000.0
151,SC,2024-12-04,1443324.0
156,CA,2024-11-20,14400000.0
168,TX,2024-10-03,2206435.0
177,OH,2024-09-03,1250000.0
184,MD,2024-07-24,4375000.0
185,TX,2024-07-15,4600000.0
188,TX,2024-07-01,3170651.0
191,NY,2024-06-26,5499000.0
195,CA,2024-05-31,11126000.0
197,TX,2024-05-23,9188390.0
201,IL,2024-04-29,1375000.0
207,GA,2024-04-10,1030000.0
211,FL,2024-04-04,2310849.0
212,IL,2024-03-28,5300000.0
213,DE,2024-03-22,2300000.0
215,WA,2024-03-13,2143000.0
216,CA,2024-03-04,6100000.0
219,AL,2024-02-23,5953566.0
221,AL,2024-02-23,3834666.0
227,GA,2024-02-20,320000.0
231,CO,2024-01-23,6600000.0
233,WA,2024-01-12,1925000.0
234,CA,2024-01-09,1063001.0
244,TX,2023-12-21,5369940.0
