14244,0.07268
7959,0.05921
8043,0.06984
14235,0.07501
14228,0.07912
14226,0.06
7862,0.07611
14214,0.0615
9170,0.07441
5998,0.08705
14205,0.07858
32,0.06722
5994,0.05532
11723,0.06571
8010,0.09664
6016,0.0775
8171,0.077
1007,0.08
6022,0.05958
8874,0.07021
511,0.08315
14182,0.06621
6036,0.06154
516,0.05337
14163,0.05677
27,0.06176
6067,0.06606
9711,0.06221
9723,0.0715
6591,0.05181
885,0.0748
1121,0.06709
502,0.06833
542,0.07
878,0.07605
11277,0.05628
61,0.0525
5007,0.06286
14116,0.0656
8351,0.07206
788,0.05366
87,0.05585
5033,0.0622
806,0.06539
209,0.05853
5470,0.0625
588,0.07749
18,0.06083
524,0.074
10072,0.07074
9809,0.05934
5478,0.06393
1035,0.05929
14066,0.06299
5540,0.065
14063,0.0653
5532,0.05411
5572,0.0625
5541,0.0504
10387,0.06601
10393,0.05008
210,0.06
293,0.06745
496,0.06501
976,0.0701
8827,0.05343
1127,0.05851
1126,0.0525
168,0.0685
993,0.05741
688,0.0908
557,0.05981
575,0.06812
962,0.0525
506,0.05609
5601,0.05945
431,0.066
6428,0.05294
8859,0.05733
688,0.05398
985,0.09703
155,0.05501
5670,0.07062
118,0.065
14010,0.07404
798,0.06148
10783,0.05606
96,0.07323
10847,0.057
166,0.0641
8842,0.09254
14001,0.059
5722,0.0575
5721,0.0565
913,0.0961
5726,0.0519
110,0.0608
11250,0.06703
690,0.07367
1240,0.06994
9494,0.07912
6148,0.05306
2405,0.05725
612,0.07042
11348,0.06
6159,0.06032
1226,0.07466
43,0.04766
613,0.0808
111,0.06201
572,0.06501
71,0.05745
114,0.0615
6200,0.068
350,0.05672
196,0.0625
526,0.08167
521,0.06399
1207,0.0585
5039,0.065
224,0.05727
213,0.0589
8271,0.061
72,0.0666
159,0.06148
180,0.08193
6451,0.066
171,0.061
5076,0.0577
161,0.0615
8229,0.065
1025,0.08136
486,0.06749
1093,0.077
144,0.05171
1112,0.05757
672,0.05428
342,0.09771
314,0.0618
13845,0.05764
667,0.075
5135,0.06004
177,0.0695
5128,0.072
281,0.05661
5115,0.053
11054,0.05457
911,0.05395
5161,0.071
13821,0.0675
697,0.07878
163,0.06494
812,0.0764
1218,0.071
134,0.05673
5195,0.05646
352,0.07
321,0.0575
1242,0.0675
327,0.06099
937,0.07279
13810,0.055
5235,0.06099
6375,0.05103
88,0.05903
7033,0.0869
861,0.0744
619,0.089
5261,0.06
241,0.06
914,0.072
5299,0.0575
13779,0.0999
10314,0.057
8371,0.06422
13780,0.08361
5342,0.06696
610,0.0655
13770,0.0719
13771,0.05911
1214,0.06012
1247,0.0815
13762,0.0706
13761,0.07748
893,0.0615
727,0.0975
6431,0.0587
13689,0.07803
6390,0.08819
6354,0.04923
13685,0.08617
562,0.1101
6319,0.0775
892,0.07882
5777,0.075
5759,0.08114
13681,0.1
1038,0.0875
6353,0.07
889,0.065
6337,0.08
12522,0.0675
24,0.06
1152,0.06868
449,0.0656
6369,0.07767
6321,0.0941
6366,0.0715
512,0.0964
6357,0.07072
1209,0.0675
6382,0.0923
527,0.07108
6419,0.09989
8837,0.07353
5879,0.075
6427,0.09824
991,0.084
5886,0.07917
868,0.0775
5901,0.1028
1213,0.07735
822,0.095
1050,0.08747
640,0.0775
8826,0.09004
602,0.07742
6440,0.07584
734,0.085
453,0.08254
6410,0.0887
8860,0.0812
6334,0.08485
809,0.08223
8853,0.08613
6430,0.07755
11279,0.0725
1249,0.10384
8854,0.05848
