29886,35526
21869,33740
39875,28179
29109,37480
35419,29092
26729,39663
26029,37482
37483,26153
31198,28084
28226,31239
29456,37734
35813,27693
1380698,24622
30574,25003
25205,24973
22264,32560
24881,24668
39987,27850
22449,32273
39910,23300
37622,28020
26299,32166
2445681,32561
30400,37776
24240,32174
24662,36303
4076579,30850
24582,32302
24272,37437
23773,33725
23753,33673
22744,33023
24995,38100
24757,22236
22203,1763511
22235,33494
28588,28427
25356,39919
36358,39924
2364969,26503
3776967,25339
25390,36099
35231,30140
25753,35390
26853,36500
26070,36206
24209,35949
25121,35069
30963,30962
24493,24469
25740,36167
24054,38692
29451,29465
3525903,30731
29335,29071
31898,30847
37636,35557
25359,1888276
1986391,22503
3456679,26195
25866,38928
29286,30248
31907,38375
24310,31914
24762,3787255
30230,39933
22419,3230009
22149,38461
3334561,36222
39903,3615005
22419,30294
26493,26482
28937,28939
3119737,30444
29168,31922
1820496,27848
2998521,30464
37753,26074
25866,38928
23451,36542
24028,23575
23926,24024
24174,32384
26116,26051
26896,38273
26895,38230
22793,31424
26172,38941
25065,23565
24698,1763511
26049,32250
24222,38703
2321547,1880180
23879,32360
23879,33738
28275,28225
22667,37761
25065,38051
26109,26148
22755,37889
28718,28746
22641,31938
25858,37726
25401,25419
27683,22085
22523,26074
39964,31516
26537,26577
25205,24973
28798,28799
22790,31922
37744,31513
29674,36877
25148,22813
22612,31930
35346,23552
27691,2461249
35489,27813
22265,32561
24821,30488
28352,28360
30400,30300
27815,35593
24320,22320
24834,26949
22615,38423
24625,37933
22446,32754
22629,37665
29107,94970
23673,37328
24649,36298
22894,37675
22446,24346
24287,30116
27327,40001
2167872,30828
27839,40082
29353,29348
24257,22447
30179,2140657
22264,22776
28829,37305
29460,35348
25201,37449
2114530,39087
22781,38591
31898,30847
26481,32361
24103,35925
22721,35940
26824,32354
25018,35551
23648,38471
23551,35601
3230009,30294
2075912,31058
25765,2076940
28986,39242
39974,40201
25889,1955418
24960,2051464
3909447,25695
25095,35777
22784,29310
27460,27496
22702,33007
1917176,36636
23569,38790
25379,39958
23586,38783
23007,37724
2075912,31058
25934,40238
30680,39880
35489,27813
25683,32213
24244,39820
23281,1843045
25896,3719807
1820496,27848
28385,28454
2490151,30759
23552,35729
25333,25419
29148,31931
26018,26022
2216261,32248
29836,23265
23313,29100
35817,27414
27704,27725
25934,40238
25761,1582526
2216299,25010
35837,23664
27139,2216137
27998,27997
23523,31861
31275,28514
22180,24660
26111,26166
25772,2076940
26093,26060
28991,1513563
29168,31922
26502,1464319
23502,28988
25766,38897
28992,23541
31439,30444
27006,3005557
35289,27901
33472,38689
31919,30488
27887,27966
22903,30334
1384677,24245
28141,36667
28808,32170
28071,31201
30222,29176
26544,30978
37738,37664
22288,26734
30182,808262
26169,26186
27024,26986
25726,30897
28905,37310
920111,30234
27610,27401
25431,25369
26540,36434
24933,37850
25858,37726
24800,36313
25191,32265
23936,33482
27813,27706
37762,29104
29729,29707
25452,2075380
797829,28321
35612,31387
37741,28548
27704,27725
37756,26728
22627,28243
24166,39552
30177,36954
